﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Adam Afriyie,Windsor CC,,0,,,,69852.96,,,,0,,,,0,,69852.96,,,0,,uncapped,0,uncapped,0,0,69852.96,1586
Adam Holloway,Gravesham CC,,20306.1,,,,110771.63,,,,0,,,,0,,131077.73,,,182.95,,uncapped,8533.45,uncapped,0,8716.4,139794.13,1522
Adrian Bailey,West Bromwich West BC,,18079.43,,,,111434.86,,,,0,,,,0,,129514.29,,,11983.59,,uncapped,3381.95,uncapped,0,15365.54,144879.83,320
Adrian Sanders,Torbay BC,,16794.54,,,,109946.08,,,,0,,,,0,,126740.62,,,15665.19,,uncapped,8785.8,uncapped,0,24450.99,151191.61,237
Aidan Burley,Cannock Chase CC,,26575.38,,,,112392.97,,,,0,,,,0,,138968.35,,,19592.69,,uncapped,3934.13,uncapped,116.8,23643.62,162611.97,3937
Alan Beith,Berwick-upon-Tweed CC,,20540.73,,,,116121.51,,,,0,,,,0,,136662.24,,,11140.01,,uncapped,13866.14,uncapped,0,25006.15,161668.39,513
Alan Campbell,Tynemouth BC,,18192.99,,,,80252.49,,,,0,,,,0,,98445.48,,,4798.67,,uncapped,13516.35,uncapped,218.4,18533.42,116978.9,529
Alan Duncan,Rutland and Melton CC,,21189.65,,,,111474.7,,,,0,,,,0,,132664.35,,,17361.29,,uncapped,4813.15,uncapped,0,22174.44,154838.79,343
Alan Haselhurst,Saffron Walden CC,,17574.51,,,,79902.25,,,,0,,,,0,,97476.76,,,12716.74,,uncapped,3806.15,uncapped,0,16522.89,113999.65,43
Alan Johnson,Kingston upon Hull West and Hessle BC,,11951.17,,,,116462.31,,,,0,,,,0,,128413.48,,,11624.22,,uncapped,6531.8,uncapped,0,18156.02,146569.5,376
Alan Keen,Feltham and Heston BC,,6750.53,,,,63347.53,,,,0,,,,49461.2,,119559.26,,,0,,uncapped,0,uncapped,0,0,119559.26,169
Alan Meale,Mansfield CC,,16234.24,,,,104420.64,,,,0,,,,0,,120654.88,,,7108.66,,uncapped,10074.47,uncapped,0,17183.13,137838.01,361
Alan Reid,Argyll and Bute CC,,21500,,,,101828.6,,,,0,,,,0,,123328.6,,,11389,,uncapped,23653.85,uncapped,0,35042.85,158371.45,1385
Alan Whitehead,"Southampton, Test BC",,19878.51,,,,106384.05,,,,0,,,,0,,126262.56,,,7414.87,,uncapped,4150.18,uncapped,0,11565.05,137827.61,62
Alasdair McDonnell,Belfast South,,13425.94,,,,114883.08,,,,0,,,,0,,128309.02,,,3100,,uncapped,16337.41,uncapped,0,19437.41,147746.43,1596
Albert Owen,Ynys Môn CC,,12026.58,,,,108886.08,,,,0,,,,0,,120912.66,,,19900,,uncapped,3993.55,uncapped,0,23893.55,144806.21,1474
Alec Shelbrooke,Elmet and Rothwell CC,,9684.18,,,,99010.36,,,,0,,,,0,,108694.54,,,17194.71,,uncapped,8305.29,uncapped,0,25500,134194.54,3997
Alex Cunningham,Stockton North BC,,13109.42,,,,112526.77,,,,0,,,,0,,125636.19,,,17259.11,,uncapped,5471.2,uncapped,0,22730.31,148366.5,4122
Alison McGovern,Wirral South CC,,20104.1,,,,115280.82,,,,0,,,,0,,135384.92,,,10360.26,,uncapped,8049.7,uncapped,0,18409.96,153794.88,4083
Alison Seabeck,"Plymouth, Moor View BC",,8666.33,,,,111584.41,,,,0,,,,0,,120250.74,,,11276.21,,uncapped,10389.7,uncapped,0,21665.91,141916.65,1552
