﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Adam Afriyie,Windsor CC,,,604.2,,,,71345.27,,,,0,,,,0,,71949.47,,,0,,uncapped,0,uncapped,0,0,71949.47,1586
Adam Holloway,Gravesham CC,,,21898.22,,,,136415.55,,,,0,,,,0,,158313.77,,,0,,uncapped,7274.9,uncapped,0,7274.9,165588.67,1522
Adrian Bailey,West Bromwich West BC,,,16319.64,,,,102970.73,,,,0,,,,0,,119290.37,,,16015.12,,uncapped,2931.9,uncapped,0,18947.02,138237.39,320
Adrian Sanders,Torbay BC,,,15886.17,,,,122319.11,,,,0,,,,0,,138205.28,,,17955.14,,uncapped,8833.94,uncapped,0,26789.08,164994.36,237
Aidan Burley,Cannock Chase CC,,,23754.08,,,,136460.88,,,,0,,,,0,,160214.96,,,24137.25,,uncapped,7874.9,uncapped,474.28,32486.43,192701.39,3937
Alan Beith,Berwick-upon-Tweed CC,,,21926.52,,,,134799.07,,,,0,,,,0,,156725.59,,,11531.87,,uncapped,12762.49,uncapped,0,24294.36,181019.95,513
Alan Campbell,Tynemouth BC,,,22129.71,,,,78130.44,,,,0,,,,0,,100260.15,,,5014.59,,uncapped,12944.15,uncapped,0,17958.74,118218.89,529
Alan Duncan,Rutland and Melton CC,,,20042.76,,,,113188.44,,,,0,,,,0,,133231.2,,,8216.4,,uncapped,4251.95,uncapped,0,12468.35,145699.55,343
Alan Haselhurst,Saffron Walden CC,,,18571.16,,,,81161.9,,,,0,,,,0,,99733.06,,,13575.27,,uncapped,3454.85,uncapped,0,17030.12,116763.18,43
Alan Johnson,Kingston upon Hull West and Hessle BC,,,14205.67,,,,0,,,,0,,,,0,,14205.67,,,17264.45,,uncapped,7865.78,uncapped,0,25130.23,39335.9,376
Alan Meale,Mansfield CC,,,22652.53,,,,122989.91,,,,0,,,,0,,145642.44,,,7296.44,,uncapped,10400.94,uncapped,0,17697.38,163339.82,361
Alan Reid,Argyll and Bute CC,,,24047.62,,,,110391.41,,,,0,,,,0,,134439.03,,,13299.4,,uncapped,24985.93,uncapped,0,38285.33,172724.36,1385
Alan Whitehead,"Southampton, Test BC",,,21285.8,,,,119680.09,,,,0,,,,0,,140965.89,,,13221.34,,uncapped,3944.1,uncapped,0,17165.44,158131.33,62
Alasdair McDonnell,Belfast South,,,17292.38,,,,136463.72,,,,0,,,,0,,153756.1,,,3300,,uncapped,16129.8,uncapped,0,19429.8,173185.9,1596
Albert Owen,Ynys Môn CC,,,14438.8,,,,121451.84,,,,0,,,,0,,135890.64,,,20000,,uncapped,5663.08,uncapped,0,25663.08,161553.72,1474
Alec Shelbrooke,Elmet and Rothwell CC,,,15847.01,,,,121970.87,,,,0,,,,0,,137817.88,,,20287.45,,uncapped,9521.7,uncapped,450,30259.15,168077.03,3997
Alex Cunningham,Stockton North BC,,,14520.91,,,,122295.11,,,,0,,,,0,,136816.02,,,18215.51,,uncapped,8687.64,uncapped,0,26903.15,163719.17,4122
Alison McGovern,Wirral South CC,,,21194.7,,,,136093.85,,,,0,,,,0,,157288.55,,,25350.82,,uncapped,12400.95,uncapped,0,37751.77,195040.32,4083
Alison Seabeck,"Plymouth, Moor View BC",,,9966.66,,,,114435.32,,,,0,,,,0,,124401.98,,,9492.96,,uncapped,12702.97,uncapped,959,23154.93,147556.91,1552
Alistair Burt,North East Bedfordshire CC,,,12232.91,,,,123754.47,,,,0,,,,0,,135987.38,,,19993.57,,uncapped,3764,uncapped,0,23757.57,159744.95,1201
Alistair Carmichael,Orkney and Shetland CC,,,22859.35,,,,116687.01,,,,0,,,,0,,139546.36,,,12396,,uncapped,52977.07,uncapped,0,65373.07,204919.43,1442
Alistair Darling,Edinburgh South West BC,,,16142.7,,,,109994.09,,,,0,,,,0,,126136.79,,,19896,,uncapped,12368.48,uncapped,0,32264.48,158401.27,596
Alok Sharma,Reading West CC,,,19607.83,,,,112716.09,,,,0,,,,0,,132323.92,,,0,,uncapped,6895.35,uncapped,0,6895.35,139219.27,4014
Alun Cairns,Vale of Glamorgan CC,,,19839.52,,,,127727.19,,,,0,,,,0,,147566.71,,,19452.1,,uncapped,12073.13,uncapped,0,31525.23,179091.94,4086
Alun Michael,Cardiff South and Penarth BC,,,17465.25,,,,61843.18,,,,0,,,,49299.34,,128607.77,,,13683.95,,uncapped,4781.26,uncapped,75,18540.21,147147.98,562
Amber Rudd,Hastings and Rye CC,,,15280.04,,,,129497.4,,,,0,,,,0,,144777.44,,,10298.21,,uncapped,2686.27,uncapped,0,12984.48,157761.92,3983
Anas Sarwar,Glasgow Central BC,,,20526.99,,,,125148.04,,,,0,,,,0,,145675.03,,,26851.48,,uncapped,16216.77,uncapped,0,43068.25,188743.28,3981
Andrea Leadsom,South Northamptonshire CC,,,12545.04,,,,129704.72,,,,0,,,,0,,142249.76,,,0,,uncapped,3226.83,uncapped,0,3226.83,145476.59,4117
Andrew Bingham,High Peak CC,,,14420.38,,,,105539.69,,,,0,,,,0,,119960.07,,,21199.3,,uncapped,5570.5,uncapped,0,26769.8,146729.87,3994
Andrew Bridgen,North West Leicestershire CC,,,15819.76,,,,97724.17,,,,0,,,,0,,113543.93,,,12557.66,,uncapped,7678,uncapped,0,20235.66,133779.59,4133
Andrew George,St Ives CC,,,22197.81,,,,126677.23,,,,0,,,,0,,148875.04,,,15389.92,,uncapped,14083.28,uncapped,315,29788.2,178663.24,227
Andrew Griffiths,Burton CC,,,20336.79,,,,88806.22,,,,0,,,,0,,109143.01,,,15424,,uncapped,5469.26,uncapped,0,20893.26,130036.27,3936
Andrew Gwynne,Denton and Reddish BC,,,15314.81,,,,116452.79,,,,0,,,,0,,131767.6,,,18291.47,,uncapped,6150.02,uncapped,0,24441.49,156209.09,1506
Andrew Jones,Harrogate and Knaresborough CC,,,20740.1,,,,110951.98,,,,0,,,,0,,131692.08,,,1780.5,,uncapped,10385.04,uncapped,0,12165.54,143857.62,3996
Andrew Lansley,South Cambridgeshire CC,,,18568.48,,,,108819.26,,,,0,,,,0,,127387.74,,,4978.33,,uncapped,4836.94,uncapped,0,9815.27,137203.01,123
Andrew Miller,Ellesmere Port and Neston CC,,,17265.59,,,,111755.46,,,,0,,,,0,,129021.05,,,8325.9,,uncapped,8955.22,uncapped,0,17281.12,146302.17,428
Andrew Mitchell,Sutton Coldfield BC,,,18528.36,,,,112051.36,,,,0,,,,0,,130579.72,,,7348.8,,uncapped,5790.96,uncapped,0,13139.76,143719.48,1211
Andrew Murrison,South West Wiltshire CC,,,18329.27,,,,61520.95,,,,0,,,,0,,79850.22,,,6398.83,,uncapped,2550.35,uncapped,0,8949.18,88799.4,1466
Andrew Percy,Brigg and Goole CC,,,15363.57,,,,118700.62,,,,0,,,,0,,134064.19,,,9536.06,,uncapped,6049.18,uncapped,0,15585.24,149649.43,3939
Andrew Robathan,South Leicestershire CC,,,1906.19,,,,78994.2,,,,0,,,,0,,80900.39,,,6543.57,,uncapped,4372.6,uncapped,0,10916.17,91816.56,334
Andrew Rosindell,Romford BC,,,25406.79,,,,144497.1,,,,0,,,,0,,169903.89,,,0,,uncapped,2050.13,uncapped,0,2050.13,171954.02,1447
Andrew Selous,South West Bedfordshire CC,,,14412.76,,,,124342.22,,,,0,,,,0,,138754.98,,,0,,uncapped,776.5,uncapped,0,776.5,139531.48,1453
Andrew Smith,Oxford East BC,,,21929.05,,,,136003.7,,,,0,,,,0,,157932.75,,,2405.67,,uncapped,2782.05,uncapped,0,5187.72,163120.47,95
Andrew Stephenson,Pendle BC,,,18196.38,,,,130724.17,,,,0,,,,0,,148920.55,,,6123.08,,uncapped,6194.95,uncapped,0,12318.03,161238.58,4044
Andrew Stunell,Hazel Grove CC,,,24099.09,,,,128571.78,,,,0,,,,0,,152670.87,,,1902.84,,uncapped,7758.82,uncapped,0,9661.66,162332.53,445
Andrew Turner,Isle of Wight CC,,,15959.87,,,,121356.87,,,,0,,,,0,,137316.74,,,20194,,uncapped,6053.82,uncapped,0,26247.82,163564.56,1426
Andrew Tyrie,Chichester CC,,,8155.71,,,,124992.44,,,,0,,,,0,,133148.15,,,15380.43,,uncapped,2013.6,uncapped,0,17394.03,150542.18,112
Andy Burnham,Leigh CC,,,20996.58,,,,134288.09,,,,0,,,,0,,155284.67,,,16114.46,,uncapped,6163.27,uncapped,0,22277.73,177562.4,1427
Andy Love,Edmonton BC,,,22677.35,,,,131914.65,,,,0,,,,0,,154592,,,0,,uncapped,1762.44,uncapped,0,1762.44,156354.44,164
Andy McDonald,Middlesbrough BC,,,4455.48,,,,23631.22,,,,543.29,,,,0,,28629.99,,,13996.92,,uncapped,4064.25,uncapped,0,18061.17,46691.16,4269
Andy Sawford,Corby CC,,,9210.33,,,,28035.68,,,,3000,,,,0,,40246.01,,,9767.95,,uncapped,2823.65,uncapped,0,12591.6,52837.61,4265
Andy Slaughter,Hammersmith BC,,,24562.36,,,,141377.49,,,,0,,,,0,,165939.85,,,0,,uncapped,2121,uncapped,0,2121,168060.85,1516
Angela Eagle,Wallasey BC,,,15797.54,,,,130226.86,,,,0,,,,0,,146024.4,,,5319.57,,uncapped,5249.4,uncapped,0,10568.97,156593.37,491
Angela Smith,Penistone and Stocksbridge CC,,,17466.89,,,,108477.72,,,,0,,,,0,,125944.61,,,21195.45,,uncapped,8719.25,uncapped,0,29914.7,155859.31,1564
Angela Watkinson,Hornchurch and Upminster BC,,,21324.47,,,,131346.35,,,,0,,,,0,,152670.82,,,0,,uncapped,550.5,uncapped,0,550.5,153221.32,1462
Angie Bray,Ealing Central and Acton BC,,,10702.96,,,,123454.53,,,,0,,,,0,,134157.49,,,0,,uncapped,0,uncapped,0,0,134157.49,3979
Angus MacNeil,Na h-Eileanan an Iar CC,,,13022.69,,,,106377.7,,,,0,,,,0,,119400.39,,,18622.55,,uncapped,42126.43,uncapped,0,60748.98,180149.37,1546
Angus Robertson,Moray CC,,,20499.89,,,,113335.55,,,,0,,,,0,,133835.44,,,18071.99,,uncapped,22037.52,uncapped,0,40109.51,173944.95,1433
Ann Clwyd,Cynon Valley CC,,,18090.08,,,,106450.9,,,,0,,,,0,,124540.98,,,7101.77,,uncapped,4445,uncapped,0,11546.77,136087.75,553
Ann Coffey,Stockport BC,,,19055.87,,,,109040.24,,,,0,,,,0,,128096.11,,,9489.95,,uncapped,7537.05,uncapped,0,17027,145123.11,458
Ann McKechin,Glasgow North BC,,,25374.84,,,,138473.6,,,,0,,,,0,,163848.44,,,3091.93,,uncapped,16712.43,uncapped,3562,23366.36,187214.8,1419
Anna Soubry,Broxtowe CC,,,25134.7,,,,104039.38,,,,0,,,,0,,129174.08,,,20019.96,,uncapped,4827.65,uncapped,507.2,25354.81,154528.89,3938
Anne Begg,Aberdeen South BC,,,24721.71,,,,137880.42,,,,0,,,,0,,162602.13,,,20000,,uncapped,13760.29,uncapped,0,33760.29,196362.42,572
Anne Main,St Albans CC,,,14279.8,,,,109853.34,,,,0,,,,0,,124133.14,,,0,,uncapped,0,uncapped,0,0,124133.14,1568
Anne McGuire,Stirling CC,,,18877.37,,,,136283.1,,,,0,,,,0,,155160.47,,,18315.06,,uncapped,15275.79,uncapped,0,33590.85,188751.32,636
Anne McIntosh,Thirsk and Malton CC,,,10408.28,,,,114775.74,,,,0,,,,0,,125184.02,,,11022.91,,uncapped,13485,uncapped,0,24507.91,149691.93,384
Anne Milton,Guildford CC,,,15543.94,,,,109378.8,,,,0,,,,0,,124922.74,,,0,,uncapped,3055.93,uncapped,0,3055.93,127978.67,1523
Anne Morris,Newton Abbot CC,,,22269.89,,,,126819,,,,0,,,,0,,149088.89,,,19500.24,,uncapped,9429.77,uncapped,368.28,29298.29,178387.18,4249
Annette Brooke,Mid Dorset and North Poole CC,,,13444.37,,,,105831.33,,,,0,,,,0,,119275.7,,,12113.44,,uncapped,2253.94,uncapped,0,14367.38,133643.08,1431
Austin Mitchell,Great Grimsby BC,,,19744.7,,,,131869.65,,,,0,,,,0,,151614.35,,,8633.04,,uncapped,6993.58,uncapped,5738,21364.62,172978.97,372
Barbara Keeley,Worsley and Eccles South CC,,,25948.12,,,,101089.09,,,,0,,,,0,,127037.21,,,0,,uncapped,5675.44,uncapped,0,5675.44,132712.65,1588
Barry Gardiner,Brent North BC,,,21710.42,,,,150101.78,,,,0,,,,0,,171812.2,,,0,,uncapped,2896.55,uncapped,0,2896.55,174708.75,146
Barry Sheerman,Huddersfield BC,,,21816.47,,,,119089.93,,,,0,,,,0,,140906.4,,,9739.08,,uncapped,6677.09,uncapped,0,16416.17,157322.57,411
Ben Bradshaw,Exeter BC,,,21608.7,,,,79946.94,,,,0,,,,0,,101555.64,,,9130.42,,uncapped,4701.2,uncapped,0,13831.62,115387.26,230
Ben Gummer,Ipswich BC,,,23339.14,,,,121618.11,,,,0,,,,0,,144957.25,,,14894.4,,uncapped,8703.91,uncapped,0,23598.31,168555.56,3988
Ben Wallace,Wyre and Preston North CC,,,15999.93,,,,117082.19,,,,0,,,,0,,133082.12,,,24244.81,,uncapped,18287.19,uncapped,0,42532,175614.12,1539
Bernard Jenkin,Harwich and North Essex CC,,,7941.85,,,,111745.32,,,,0,,,,0,,119687.17,,,1200,,uncapped,1269.27,uncapped,0,2469.27,122156.44,40
Bill Cash,Stone CC,,,17062.66,,,,121842.56,,,,0,,,,0,,138905.22,,,22316.69,,uncapped,9309.77,uncapped,0,31626.46,170531.68,288
Bill Esterson,Sefton Central CC,,,19319.97,,,,144315.64,,,,0,,,,0,,163635.61,,,20802.75,,uncapped,8081.63,uncapped,0,28884.38,192519.99,4061
Bill Wiggin,North Herefordshire CC,,,13601.39,,,,111398.89,,,,0,,,,0,,125000.28,,,2176.12,,uncapped,5491.25,uncapped,0,7667.37,132667.65,1428
Bob Ainsworth,Coventry North East BC,,,9896.44,,,,106134.71,,,,0,,,,0,,116031.15,,,18742.5,,uncapped,3236.8,uncapped,0,21979.3,138010.45,306
